Año,Región,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Parque Vehicular,Poblacion,Siniestros por parque vehicular (por 10000 vehiculos),Siniestros por cantidad de habitantes (por 100000 habitantes),Fallecidos por parque vehicular (por 10000 vehiculos),Fallecidos por cantidad de habitantes (por 100000 habitantes),Lesionados por parque vehicular (por 10000 vehiculos),Lesionados por cantidad de habitantes (por 100000 habitantes)
2000,Tarapacá,1701,41,245,256,1490,1991,78374,411515,"217,036262025672","413,350667654885","5,23132671549238","9,96318481707836","254,038329037691","483,821974897634"
2000,Antofagasta,1484,62,287,316,1306,1909,78566,474879,"188,885777562813","312,50065806237","7,89145431866202","13,0559574123092","242,980424102029","401,997140324167"
2000,Atacama,586,35,206,118,742,1066,40251,249405,"145,586445057266","234,959202902909","8,69543613823259","14,0333994907881","264,838140667313","427,417253062288"
2000,Coquimbo,1329,52,311,274,1327,1912,69248,584333,"191,918900184843","227,438806297094","7,50924214417745","8,8990353103453","276,109057301294","327,210682949619"
2000,Valparaíso,4799,166,887,479,3843,5209,232803,1515485,"206,139955241127","316,664302187089","7,13049230465243","10,9535891150358","223,75141213816","343,718347591695"
2000,Metropolitana,20304,497,3247,3219,12571,19037,930550,5897930,"218,193541453979","344,256374694172","5,34092740852184","8,42668529467118","204,577937778733","322,77426147818"
2000,L.B.O´Higgins,1295,135,385,379,959,1723,115134,762197,"112,477634756023","169,903581357576","11,7254677158789","17,7119563577395","149,65171018118","226,057042995446"
2000,Maule,2422,137,466,418,2172,3056,123856,894411,"195,549670585196","270,792733989184","11,0612323989149","15,3173429217664","246,738147526159","341,677372035899"
2000,Biobio,3350,287,957,626,3630,5213,207937,1836414,"161,106488984644","182,420739550014","13,8022574145054","15,6282842539863","250,700933455806","283,868452320664"
2000,Araucanía,1520,133,469,320,1508,2297,96845,852460,"156,951830244205","178,307486568285","13,7332851463679","15,6019050747249","237,183127678249","269,455458320625"
2000,Los Lagos,1420,138,487,374,1338,2199,111785,961945,"127,029565684126","147,617587284096","12,3451268059221","14,345934538877","196,71691192915","228,599348195583"
2000,Aysén,261,8,53,54,249,356,13227,89244,"197,323656157859","292,456635740218","6,04823467150525","8,96418806866568","269,146442881984","398,906369055623"
2000,Magallanes,455,7,90,96,504,690,36364,149015,"125,123748762512","305,33838875281","1,9249807501925","4,69751367312016","189,748102518975","463,040633493273"
2000,Total,40926,1698,8090,6929,31639,46658,2134940,14788299,"191,696253758888","276,745824519777","7,95338510684141","11,4820507754137","218,544783459957","315,506198515461"
2001,Tarapacá,1464,58,239,200,1554,1993,83992,420055,"174,302314506143","348,525788289629","6,90541956376798","13,8077156562831","237,284503286027","474,461677637452"
2001,Antofagasta,1283,70,266,312,1320,1898,81953,484432,"156,553146315571","264,846252931268","8,5414810928215","14,4499124748159","231,596158773931","391,799055388579"
2001,Atacama,357,33,120,64,439,623,40422,251871,"88,3182425411904","141,739223650202","8,16387115926971","13,101945043296","154,123991885607","247,348841271921"
2001,Coquimbo,1031,50,258,211,1194,1663,72291,593771,"142,618029906904","173,635964033272","6,91649029616411","8,4207548027775","230,042467250418","280,07430474038"
2001,Valparaíso,4089,154,722,444,3418,4584,245154,1527669,"166,793117795345","267,662693947445","6,28176574724459","10,0807177471036","186,984507697203","300,065000991707"
2001,Metropolitana,26995,464,3035,3131,13858,20024,930507,5979557,"290,110660102503","451,454848578248","4,98652884932623","7,75977217041329","215,194512239027","334,874305905939"
2001,L.B.O´Higgins,1258,133,385,373,1150,1908,119814,771412,"104,996077253076","163,077577222029","11,1005391690454","17,2411111053497","159,246832590515","247,338646533889"
2001,Maule,2408,142,494,460,2188,3142,126617,901254,"190,179833671624","267,183280185164","11,2149237464164","15,7558246620819","248,149932473523","348,625359776489"
2001,Biobio,2788,203,795,542,3145,4482,212290,1848988,"131,329784728438","150,78518627487","9,56239106882095","10,9789787710899","211,126289509633","242,402871192241"
2001,Araucanía,1150,112,407,302,1185,1894,96227,860997,"119,509077493843","133,566086757561","11,6391449385308","13,0081754059538","196,826254585511","219,97753766854"
2001,Los Lagos,1343,125,469,390,1247,2106,116844,1017540,"114,9395775564","131,984983391316","10,6980247167163","12,2845293551113","180,240320427236","206,969750574916"
2001,Aysén,238,7,44,40,283,367,12744,90368,"186,754551161331","263,367563739377","5,49278091650973","7,74610481586402","287,978656622724","406,117209631728"
2001,Magallanes,426,11,95,98,467,660,37646,149920,"113,159432609042","284,151547491996","2,92195718004569","7,33724653148346","175,317430802741","440,234791889007"
2001,Total,44830,1562,7329,6567,31448,45344,2176501,14952367,"205,972797623341","299,818751104758","7,17665647752976","10,4465065631415","208,334386246549","303,256333930273"
2002,Tarapacá,1258,64,266,190,1482,1938,89610,428594,"140,386117620801","293,517874725265","7,14206003794219","14,932546885864","216,270505523937","452,17618538757"
2002,Antofagasta,1058,42,226,293,1069,1588,85340,493984,"123,974689477385","214,17697739198","4,92149050855402","8,50229966962493","186,079212561519","321,46790179439"
2002,Atacama,298,23,126,103,363,592,40593,254336,"73,4116719631464","117,167840966281","5,66600152735693","9,04315551082033","145,837952356318","232,762959235028"
2002,Coquimbo,810,61,246,197,1023,1466,75334,603210,"107,521172379006","134,281593474909","8,09727347545597","10,1125644468759","194,600047787188","243,033106215083"
2002,Valparaíso,3892,125,766,543,3574,4883,257505,1539852,"151,142696258325","252,751563137237","4,85427467427817","8,11766325594927","189,627385876002","317,108397430402"
2002,Metropolitana,25278,481,2922,2871,13514,19307,930464,6061185,"271,67090827802","417,047161569891","5,16946383739726","7,93574193825135","207,498624342264","318,535071937253"
2002,L.B.O´Higgins,1379,134,424,377,1261,2062,124494,780627,"110,768390444519","176,652870064704","10,7635709351455","17,1656886067225","165,630472151268","264,146641097477"
2002,Maule,2010,163,547,384,2013,2944,129378,908097,"155,358716319622","221,341993201167","12,5987416716907","17,9496243242737","227,550279027346","324,194441783202"
2002,Biobio,2954,191,855,572,3479,4906,216643,1861562,"136,353355520372","158,683943913767","8,81634763181824","10,2602008420885","226,455505139792","263,542122153331"
2002,Araucanía,1120,119,358,268,1303,1929,95609,869535,"117,143783535023","128,804475955539","12,4465270005962","13,6854755702761","201,759248606303","221,842709034139"
2002,Los Lagos,1194,119,447,360,966,1773,121903,1073135,"97,9467281363051","111,26279545444","9,76185983938049","11,0890055771175","145,443508363207","165,216864606969"
2002,Aysén,231,14,51,51,247,349,12261,91492,"188,402251039883","252,48109124295","11,4183182448414","15,3018843177546","284,642361960688","381,454116206882"
2002,Magallanes,252,13,83,75,227,385,38928,150826,"64,7348951911221","167,079946428335","3,33949856144677","8,61920358558869","98,9005343197698","255,261029265511"
2002,Total,41734,1549,7317,6284,30521,44122,2218062,15116435,"188,155245434979","276,083613629801","6,98357394878953","10,2471250661945","198,921400754352","291,880989135335"
2003,Tarapacá,1423,66,237,208,1556,2001,95791,437129,"148,552578008372","325,533195006508","6,89000010439394","15,0985178288331","208,892275892307","457,759608719623"
2003,Antofagasta,1198,59,322,262,1351,1935,77798,501554,"153,988534409625","238,857630484454","7,58374251266099","11,7634392308705","248,721046813543","385,800930707362"
2003,Atacama,396,31,133,87,536,756,41280,256458,"95,9302325581395","154,411248625506","7,50968992248062","12,0877492610876","183,139534883721","294,78511101233"
2003,Coquimbo,1266,54,229,190,965,1384,77135,613502,"164,127827834316","206,356295496999","7,00071303558696","8,80192729608053","179,425682245414","225,590136625471"
2003,Valparaíso,3285,177,658,411,3233,4302,260161,1724055,"126,267964837159","190,539164933833","6,80347938391996","10,2664938183527","165,359142992224","249,52800229691"
2003,Metropolitana,27110,470,3167,2620,14190,19977,942447,6131288,"287,655433143721","442,158319752718","4,98701783760784","7,66559978914708","211,969479450834","325,820610612322"
