Año,Usuario,Siniestros,Fallecidos,Lesionados Graves,Lesionados Menos graves,Lesionados Leves,Total lesionados,Total de Vehiculos
2002,Automóvil,24511,266,1654,1900,11385,14939,1.190.614
2002,Bus / Taxibus,8614,60,599,770,4660,6029,31.703
2002,Camión,3473,73,304,219,881,1404,99.662
2002,Camioneta,8125,130,735,735,3365,4835,448.878
2002,Furgón,3119,32,218,225,1471,1914,107.826
2002,Jeep,1292,19,133,136,614,883,79.902
2002,Minibus,513,7,49,52,377,478,15.876
2002,Motocicleta,1499,45,442,214,746,1402,24.761
2002,Peatón,8264,705,2290,1290,4371,7951,15.116.435
2003,Automóvil,26323,288,1671,1815,12088,15574,1.220.150
2003,Bus / Taxibus,8822,40,604,680,4587,5871,33.557
2003,Camión,3817,101,275,219,873,1367,97.613
2003,Camioneta,8527,147,730,652,3582,4964,452.437
2003,Furgón,3369,32,233,250,1515,1998,109.801
2003,Jeep,1432,26,126,122,698,946,82.452
2003,Minibus,441,9,75,53,373,501,16.038
2003,Motocicleta,1594,62,468,215,786,1469,24.315
2003,Peatón,8244,785,2347,1138,4433,7918,15280273
2004,Automóvil,28068,330,1742,1781,13079,16602,1.303.554
2004,Bus / Taxibus,9335,45,528,669,4807,6004,38215
2004,Camión,4274,92,261,191,1054,1506,101497
2004,Camioneta,8992,149,700,621,3657,4978,458.349
2004,Furgón,3561,40,218,195,1733,2146,113.969
2004,Jeep,1534,28,153,103,748,1004,84.388
2004,Minibus,439,7,52,32,268,352,16.463
2004,Motocicleta,1471,45,411,162,759,1332,22870
2004,Peatón,8274,817,2248,997,4730,7975,15444110
2005,Automóvil,28493,269,1679,1644,14598,17921,1406796
2005,Bus / Taxibus,8912,83,619,579,5015,6213,34324
2005,Camión,4101,80,262,158,1069,1489,99662
2005,Camioneta,8781,154,664,555,3952,5171,479439
2005,Furgón,3497,45,222,186,1684,2092,118791
2005,Jeep,1529,25,127,89,711,927,83744
2005,Minibus,510,13,57,41,374,472,16807
2005,Motocicleta,1604,55,405,164,878,1447,27741
2005,Peatón,7894,712,2030,908,4702,7640,15607848
2006,Automóvil,27793,323,1597,1530,14641,17768,1514220
2006,Bus / Taxibus,7612,86,485,419,4584,5488,37103
2006,Camión,3545,106,258,170,941,1369,108001
2006,Camioneta,8710,154,689,573,4096,5358,500831
2006,Furgón,3219,37,219,158,1565,1942,124991
2006,Jeep,1569,30,118,102,865,1085,84932
2006,Minibus,504,21,64,46,345,455,17935
2006,Motocicleta,1815,58,425,167,1074,1666,40689
2006,Peatón,7916,668,1913,855,4871,7639,15771786
2007,Automóvil,34011,347,1842,1696,17203,20741,1615458
2007,Bus / Taxibus,6929,37,455,408,4520,5383,38215
2007,Camión,4514,91,252,200,1138,1590,101497
2007,Camioneta,10581,147,706,562,4475,5743,524206
2007,Furgón,3853,37,224,172,1860,2256,129701
2007,Minibus,848,11,67,38,585,690,18722
2007,Motocicleta,2982,70,702,270,1731,2703,63257
2007,Peatón,9226,660,2172,1016,5744,8932,15935523
2008,Automóvil,36685,385,1921,1755,17824,21500,1406796
2008,Bus / Taxibus,6907,37,347,371,4298,5016,41412
2008,Camión,4603,100,269,185,1102,1556,118145
2008,Camioneta,11207,189,780,583,4667,6030,551913
2008,Furgón,3925,50,224,176,1735,2135,134388
2008,Minibus,1024,7,73,69,652,794,19518
2008,Motocicleta,3821,86,838,382,2310,3530,87545
2008,Peatón,9440,712,2141,1003,5978,9122,16099361
2009,Automóvil,37613,397,1790,1481,17865,21136,1816143
2009,Bus / Taxibus,6634,35,407,326,3976,4709,32792
2009,Camión,3921,69,202,142,949,1293,119487
2009,Camioneta,11158,150,703,516,4416,5635,567445
2009,Furgón,3807,25,182,181,1703,2066,136440
2009,Minibus,888,5,63,58,689,810,20126
